ID,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,created_at,updated_at
170,1905-04-01,England,Scotland,1,0,British Championship,London,England,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
171,1905-04-08,Northern Ireland,Wales,2,2,British Championship,Belfast,Republic of Ireland,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
172,1905-04-09,Hungary,Austria,0,0,Friendly,Budapest,Hungary,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
173,1905-04-30,Belgium,Netherlands,1,4,Friendly,Antwerp,Belgium,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
174,1905-05-07,Belgium,France,7,0,Friendly,Brussels,Belgium,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
175,1905-05-14,Netherlands,Belgium,4,0,Friendly,Rotterdam,Netherlands,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
176,1905-08-15,Argentina,Uruguay,0,0,Copa Lipton,Buenos Aires,Argentina,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
177,1906-02-17,Northern Ireland,England,0,5,British Championship,Belfast,Republic of Ireland,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
178,1906-03-03,Scotland,Wales,0,2,British Championship,Edinburgh,Scotland,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
179,1906-03-17,Northern Ireland,Scotland,0,1,British Championship,Dublin,Republic of Ireland,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
180,1906-03-19,Wales,England,0,1,British Championship,Cardiff,Wales,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
181,1906-04-01,Hungary,Czechoslovakia,1,1,Friendly,Budapest,Hungary,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
182,1906-04-02,Wales,Northern Ireland,4,4,British Championship,Wrexham,Wales,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
183,1906-04-07,Scotland,England,2,1,British Championship,Glasgow,Scotland,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
184,1906-04-22,France,Belgium,0,5,Friendly,Saint-Cloud,France,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
